name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
Higher Learning,R,Crime,1995,"January 11, 1995 (United States)",6.5,19000.0,John Singleton,John Singleton,Omar Epps,United States,,38290723.0,Columbia Pictures,127.0,January,11,1995,(United States),1,1995-01-11,1,Wednesday,Higher Learning (1995),higher_learning_1995,
Dolores Claiborne,R,Crime,1995,"March 24, 1995 (United States)",7.4,41000.0,Taylor Hackford,Stephen King,Kathy Bates,United States,,24361867.0,Castle Rock Entertainment,132.0,March,24,1995,(United States),3,1995-03-24,1,Friday,Dolores Claiborne (1995),dolores_claiborne_1995,$13 million[2]
French Kiss,PG-13,Comedy,1995,"May 5, 1995 (United States)",6.6,48000.0,Lawrence Kasdan,Adam Brooks,Meg Ryan,United Kingdom,,101982854.0,Polygram Filmed Entertainment,111.0,May,5,1995,(United States),5,1995-05-05,2,Friday,French Kiss (1995),french_kiss_1995,
It Takes Two,PG,Comedy,1995,"November 17, 1995 (United States)",5.9,21000.0,Andy Tennant,Deborah Dean Davis,Kirstie Alley,United States,,19474589.0,Dualstar Productions,101.0,November,17,1995,(United States),11,1995-11-17,4,Friday,It Takes Two (1995),it_takes_two_1995,
Kicking and Screaming,R,Comedy,1995,"October 6, 1995 (United States)",6.8,13000.0,Noah Baumbach,Noah Baumbach,Josh Hamilton,United States,,718490.0,Trimark Pictures,96.0,October,6,1995,(United States),10,1995-10-06,4,Friday,Kicking and Screaming (1995),kicking_and_screaming_1995,$1.3 million[1]
Tom and Huck,PG,Adventure,1995,"December 22, 1995 (United States)",5.5,10000.0,Peter Hewitt,Mark Twain,Jonathan Taylor Thomas,United States,,23920048.0,Walt Disney Pictures,97.0,December,22,1995,(United States),12,1995-12-22,4,Friday,Tom and Huck (1995),tom_and_huck_1995,
Man of the House,PG,Comedy,1995,"March 3, 1995 (United States)",5.2,8900.0,James Orr,David E. Peckinpah,Chevy Chase,United States,,40070995.0,All Girl Productions,96.0,March,3,1995,(United States),3,1995-03-03,1,Friday,Man of the House (1995),man_of_the_house_1995,$22 million
When Night Is Falling,Unrated,Drama,1995,"November 17, 1995 (United States)",6.5,6700.0,Patricia Rozema,Patricia Rozema,Pascale Bussières,Canada,,919671.0,Alliance Communications Corporation,94.0,November,17,1995,(United States),11,1995-11-17,4,Friday,When Night Is Falling (1995),when_night_is_falling_1995,
Balto,G,Animation,1995,"December 22, 1995 (United States)",7.1,41000.0,Simon Wells,Cliff Ruby,Kevin Bacon,United States,,11349090.0,Amblimation,78.0,December,22,1995,(United States),12,1995-12-22,4,Friday,Balto (1995),balto_1995,$31 million[2]
Senior Trip,R,Adventure,1995,"September 8, 1995 (United States)",5.7,5500.0,Kelly Makin,Roger Kumble,Matt Frewer,Canada,,4686937.0,1992 Number Four Limited Partnership,91.0,September,8,1995,(United States),9,1995-09-08,3,Friday,Senior Trip (1995),senior_trip_1995,
Free Willy 2: The Adventure Home,PG,Adventure,1995,"July 19, 1995 (United States)",5.1,17000.0,Dwight H. Little,Keith Walker,Jason James Richter,France,,30077111.0,Warner Bros. Family Entertainment,95.0,July,19,1995,(United States),7,1995-07-19,3,Wednesday,Free Willy 2: The Adventure Home (1995),free_willy_2_the_adventure_home_1995,$31 million[1]
The Doom Generation,R,Comedy,1995,"October 27, 1995 (United States)",6.1,14000.0,Gregg Araki,Gregg Araki,James Duval,United States,,284785.0,Union Générale Cinématographique (UGC),83.0,October,27,1995,(United States),10,1995-10-27,4,Friday,The Doom Generation (1995),the_doom_generation_1995,"$800,000"
Nine Months,PG-13,Comedy,1995,"July 12, 1995 (United States)",5.5,36000.0,Chris Columbus,Patrick Braoudé,Hugh Grant,United States,,138510230.0,Twentieth Century Fox,103.0,July,12,1995,(United States),7,1995-07-12,3,Wednesday,Nine Months (1995),nine_months_1995,
Circle of Friends,PG-13,Drama,1995,"April 7, 1995 (United States)",6.6,8100.0,Pat O'Connor,Andrew Davies,Chris O'Donnell,Ireland,,23389975.0,Price Entertainment,103.0,April,7,1995,(United States),4,1995-04-07,2,Friday,Circle of Friends (1995),circle_of_friends_1995,$15 million
Murder in the First,R,Drama,1995,"January 20, 1995 (United States)",7.3,27000.0,Marc Rocco,Dan Gordon,Christian Slater,United States,,17381942.0,Warner Bros.,122.0,January,20,1995,(United States),1,1995-01-20,1,Friday,Murder in the First (1995),murder_in_the_first_1995,$23 million
Richard III,R,Drama,1995,"December 29, 1995 (United States)",7.4,14000.0,Richard Loncraine,Ian McKellen,Ian McKellen,United Kingdom,,2748518.0,Mayfair Entertainment International,110.0,December,29,1995,(United States),12,1995-12-29,4,Friday,Richard III (1995),richard_iii_1995,£6 million
Gold Diggers: The Secret of Bear Mountain,PG,Adventure,1995,"November 3, 1995 (United States)",6.0,4200.0,Kevin James Dobson,Barry Glasser,Christina Ricci,Canada,,6029091.0,Universal Pictures,93.0,November,3,1995,(United States),11,1995-11-03,4,Friday,Gold Diggers: The Secret of Bear Mountain (1995),gold_diggers_the_secret_of_bear_mountain_1995,$9 million
Something to Talk About,R,Comedy,1995,"August 4, 1995 (United States)",5.7,13000.0,Lasse Hallström,Callie Khouri,Julia Roberts,United States,,50865589.0,Hawn / Sylbert Movie Company,106.0,August,4,1995,(United States),8,1995-08-04,3,Friday,Something to Talk About (1995),something_to_talk_about_1995,$30 million
Delta of Venus,R,Drama,1995,"October 13, 1995 (United States)",4.8,1900.0,Zalman King,Anaïs Nin,Audie England,United States,,63174.0,Alliance Communications Corporation,102.0,October,13,1995,(United States),10,1995-10-13,4,Friday,Delta of Venus (1995),delta_of_venus_1995,
The Cure,PG-13,Drama,1995,"April 21, 1995 (United States)",7.7,9400.0,Peter Horton,Robert Kuhn,Joseph Mazzello,United States,,2568425.0,Universal Pictures,97.0,April,21,1995,(United States),4,1995-04-21,2,Friday,The Cure (1995),the_cure_1995,
The Horseman on the Roof,R,Adventure,1995,"October 6, 1995 (United States)",7.1,5700.0,Jean-Paul Rappeneau,Jean Giono,Olivier Martinez,France,,1320043.0,Hachette Première,118.0,October,6,1995,(United States),10,1995-10-06,4,Friday,The Horseman on the Roof (1995),the_horseman_on_the_roof_1995,"$26,8 million[1]"
Forget Paris,PG-13,Comedy,1995,"May 19, 1995 (United States)",6.5,12000.0,Billy Crystal,Billy Crystal,Billy Crystal,United States,,33177694.0,Castle Rock Entertainment,101.0,May,19,1995,(United States),5,1995-05-19,2,Friday,Forget Paris (1995),forget_paris_1995,$21 million
Mad Love,PG-13,Comedy,1995,"May 26, 1995 (United States)",5.4,6200.0,Antonia Bird,Paula Milne,Chris O'Donnell,United States,,15453274.0,Touchstone Pictures,93.0,May,26,1995,(United States),5,1995-05-26,2,Friday,Mad Love (1995),mad_love_1995,
Al di là delle nuvole,Not Rated,Drama,1995,"October 27, 1995 (Italy)",6.5,5600.0,Michelangelo Antonioni,Tonino Guerra,Fanny Ardant,France,,31738.0,Sunshine,110.0,October,27,1995,(Italy),10,1995-10-27,4,Friday,Al di là delle nuvole (1995),al_di_l_delle_nuvole_1995,
Bushwhacked,PG-13,Adventure,1995,"August 4, 1995 (United States)",5.6,5700.0,Greg Beeman,John Jordan,Daniel Stern,United States,,7919823.0,Twentieth Century Fox,90.0,August,4,1995,(United States),8,1995-08-04,3,Friday,Bushwhacked (1995),bushwhacked_1995,
The Addiction,Not Rated,Drama,1995,"October 6, 1995 (United States)",6.5,9200.0,Abel Ferrara,Nicholas St. John,Lili Taylor,United States,,307308.0,Fast Films,82.0,October,6,1995,(United States),10,1995-10-06,4,Friday,The Addiction (1995),the_addiction_1995,
Last of the Dogmen,PG,Adventure,1995,"September 8, 1995 (United States)",7.0,5000.0,Tab Murphy,Tab Murphy,Tom Berenger,United States,,7024389.0,Carolco Pictures,118.0,September,8,1995,(United States),9,1995-09-08,3,Friday,Last of the Dogmen (1995),last_of_the_dogmen_1995,$25 million[2]
Bye Bye Love,PG-13,Comedy,1995,"March 17, 1995 (United States)",6.2,4700.0,Sam Weisman,Gary David Goldberg,Matthew Modine,United States,,12096673.0,Twentieth Century Fox,106.0,March,17,1995,(United States),3,1995-03-17,1,Friday,Bye Bye Love (1995),bye_bye_love_1995,
The Mangler,R,Horror,1995,"March 3, 1995 (United States)",4.3,8500.0,Tobe Hooper,Tobe Hooper,Robert Englund,South Africa,,1781383.0,Distant Horizon,106.0,March,3,1995,(United States),3,1995-03-03,1,Friday,The Mangler (1995),the_mangler_1995,
Jeffrey,R,Comedy,1995,"August 18, 1995 (United States)",6.8,5900.0,Christopher Ashley,Paul Rudnick,Steven Weber,United States,,3487767.0,The Booking Office,92.0,August,18,1995,(United States),8,1995-08-18,3,Friday,Jeffrey (1995),jeffrey_1995,
Angus,PG-13,Comedy,1995,"September 15, 1995 (United States)",6.7,6400.0,Patrick Read Johnson,Chris Crutcher,Charlie Talbert,United Kingdom,,4821759.0,Atlas Entertainment,90.0,September,15,1995,(United States),9,1995-09-15,3,Friday,Angus (1995),angus_1995,$1.5 million[1]
Operation Dumbo Drop,PG,Action,1995,"July 28, 1995 (United States)",5.1,8600.0,Simon Wincer,James Morris,Danny Glover,United States,,24670346.0,Walt Disney Pictures,107.0,July,28,1995,(United States),7,1995-07-28,3,Friday,Operation Dumbo Drop (1995),operation_dumbo_drop_1995,$24 million[citation needed]
Georgia,R,Drama,1995,"December 8, 1995 (United States)",6.6,2800.0,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh,France,,1110104.0,CiBy 2000,115.0,December,8,1995,(United States),12,1995-12-08,4,Friday,Georgia (1995),georgia_1995,
Jury Duty,PG-13,Comedy,1995,"April 12, 1995 (United States)",4.3,7600.0,John Fortenberry,Barbara Williams,Pauly Shore,United States,,17014653.0,TriStar Pictures,88.0,April,12,1995,(United States),4,1995-04-12,2,Wednesday,Jury Duty (1995),jury_duty_1995,$21 million
Far from Home: the Adventures of Yellow Dog,PG,Adventure,1995,"January 13, 1995 (United States)",6.4,2700.0,Phillip Borsos,Phillip Borsos,Jesse Bradford,United States,,11642946.0,Twentieth Century Fox,81.0,January,13,1995,(United States),1,1995-01-13,1,Friday,Far from Home: the Adventures of Yellow Dog (1995),far_from_home_the_adventures_of_yellow_dog_1995,
Magic in the Water,PG,Adventure,1995,"August 30, 1995 (United States)",5.5,1900.0,Rick Stevenson,Rick Stevenson,Mark Harmon,Canada,,2680717.0,Oxford Film Company,101.0,August,30,1995,(United States),8,1995-08-30,3,Wednesday,Magic in the Water (1995),magic_in_the_water_1995,
Miami Rhapsody,PG-13,Comedy,1995,"January 27, 1995 (United States)",5.4,3100.0,David Frankel,David Frankel,Sarah Jessica Parker,United States,,5221281.0,Cantaloupe Production,95.0,January,27,1995,(United States),1,1995-01-27,1,Friday,Miami Rhapsody (1995),miami_rhapsody_1995,$6 million
The Amazing Panda Adventure,PG,Adventure,1995,"August 25, 1995 (United States)",5.8,3900.0,Christopher Cain,John Wilcox,Stephen Lang,United States,,7506759.0,Lee Rich Productions,84.0,August,25,1995,(United States),8,1995-08-25,3,Friday,The Amazing Panda Adventure (1995),the_amazing_panda_adventure_1995,
Panther,R,Drama,1995,"May 3, 1995 (United States)",6.4,2300.0,Mario Van Peebles,Melvin Van Peebles,Kadeem Hardison,United Kingdom,,6834525.0,Gramercy Pictures (I),124.0,May,3,1995,(United States),5,1995-05-03,2,Wednesday,Panther (1995),panther_1995,
Les visiteurs,R,Comedy,1993,"July 12, 1996 (United States)",7.1,33000.0,Jean-Marie Poiré,Christian Clavier,Christian Clavier,France,,659810.0,Alpilles Productions,107.0,July,12,1996,(United States),7,1996-07-12,3,Friday,Les visiteurs (1996),les_visiteurs_1996,
Chungking Express,PG-13,Comedy,1994,"March 8, 1996 (United States)",8.1,69000.0,Kar-Wai Wong,Kar-Wai Wong,Brigitte Lin,Hong Kong,,1432358.0,Jet Tone Production,102.0,March,8,1996,(United States),3,1996-03-08,1,Friday,Chungking Express (1996),chungking_express_1996,
Of Love and Shadows,R,Drama,1994,"May 10, 1996 (United States)",5.1,2000.0,Betty Kaplan,Isabel Allende,Antonio Banderas,United States,,1181182.0,Aleph Producciones S.A.,103.0,May,10,1996,(United States),5,1996-05-10,2,Friday,Of Love and Shadows (1996),of_love_and_shadows_1996,
La Haine,Not Rated,Crime,1995,"February 23, 1996 (United States)",8.1,157000.0,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,France,,302606.0,Le Studio Canal+,98.0,February,23,1996,(United States),2,1996-02-23,1,Friday,La Haine (1996),la_haine_1996,$2.6 million[1]
Ghost in the Shell,TV-MA,Animation,1995,"March 29, 1996 (United States)",8.0,133000.0,Mamoru Oshii,Shirow Masamune,Atsuko Tanaka,Japan,,516540.0,Kôdansha,83.0,March,29,1996,(United States),3,1996-03-29,1,Friday,Ghost in the Shell (1996),ghost_in_the_shell_1996,¥330 million[5]
Heavy,R,Drama,1995,"June 5, 1996 (United States)",6.8,4500.0,James Mangold,James Mangold,Pruitt Taylor Vince,United States,,941414.0,Available Light Productions,105.0,June,5,1996,(United States),6,1996-06-05,2,Wednesday,Heavy (1996),heavy_1996,
The Last Supper,R,Comedy,1995,"April 5, 1996 (United States)",6.8,14000.0,Stacy Title,Dan Rosen,Cameron Diaz,United States,,459749.0,Columbia Pictures,92.0,April,5,1996,(United States),4,1996-04-05,2,Friday,The Last Supper (1996),the_last_supper_1996,
La Cérémonie,Not Rated,Crime,1995,"December 20, 1996 (United States)",7.5,11000.0,Claude Chabrol,Ruth Rendell,Isabelle Huppert,France,,873196.0,Canal+,112.0,December,20,1996,(United States),12,1996-12-20,4,Friday,La Cérémonie (1996),la_c_r_monie_1996,
Jack & Sarah,R,Comedy,1995,"March 22, 1996 (United States)",6.7,5100.0,Tim Sullivan,Tim Sullivan,Richard E. Grant,United Kingdom,,218626.0,British Screen Productions,110.0,March,22,1996,(United States),3,1996-03-22,1,Friday,Jack & Sarah (1996),jack_sarah_1996,
The Flower of My Secret,R,Comedy,1995,"March 8, 1996 (United States)",7.0,11000.0,Pedro Almodóvar,Pedro Almodóvar,Marisa Paredes,Spain,,1104622.0,CiBy 2000,103.0,March,8,1996,(United States),3,1996-03-08,1,Friday,The Flower of My Secret (1996),the_flower_of_my_secret_1996,$4.5 million
Land and Freedom,Not Rated,Drama,1995,"March 22, 1996 (United States)",7.6,11000.0,Ken Loach,Jim Allen,Ian Hart,United Kingdom,,228800.0,ARD Degeto Film,109.0,March,22,1996,(United States),3,1996-03-22,1,Friday,Land and Freedom (1996),land_and_freedom_1996,
The Star Maker,R,Drama,1995,"March 8, 1996 (United States)",7.4,4900.0,Giuseppe Tornatore,Giuseppe Tornatore,Sergio Castellitto,Italy,,371674.0,Cecchi Gori Group Tiger Cinematografica,113.0,March,8,1996,(United States),3,1996-03-08,1,Friday,The Star Maker (1996),the_star_maker_1996,
La fille seule,TV-MA,Drama,1995,"October 30, 1996 (United States)",6.9,1500.0,Benoît Jacquot,Jérôme Beaujour,Virginie Ledoyen,France,,230049.0,Cinéa,90.0,October,30,1996,(United States),10,1996-10-30,4,Wednesday,La fille seule (1996),la_fille_seule_1996,
Antonia's Line,R,Comedy,1995,"February 2, 1996 (United States)",7.5,8400.0,Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy,Netherlands,,4249321.0,Bergen,102.0,February,2,1996,(United States),2,1996-02-02,1,Friday,Antonia's Line (1996),antonia_s_line_1996,£1.5 million[1]
Nelly & Monsieur Arnaud,,Drama,1995,"June 21, 1996 (United States)",7.3,4300.0,Claude Sautet,Jacques Fieschi,Emmanuelle Béart,France,,955708.0,Cecchi Gori Group Tiger Cinematografica,106.0,June,21,1996,(United States),6,1996-06-21,2,Friday,Nelly & Monsieur Arnaud (1996),nelly_monsieur_arnaud_1996,
Trainspotting,R,Drama,1996,"August 9, 1996 (United States)",8.1,647000.0,Danny Boyle,Irvine Welsh,Ewan McGregor,United Kingdom,,16607872.0,Channel Four Films,93.0,August,9,1996,(United States),8,1996-08-09,3,Friday,Trainspotting (1996),trainspotting_1996,£1.5 million[2]
Fear,R,Drama,1996,"April 12, 1996 (United States)",6.2,44000.0,James Foley,Christopher Crowe,Mark Wahlberg,United States,,20831000.0,Imagine Entertainment,97.0,April,12,1996,(United States),4,1996-04-12,2,Friday,Fear (1996),fear_1996,$6.5 million
Beautiful Girls,R,Comedy,1996,"February 9, 1996 (United States)",7.1,32000.0,Ted Demme,Scott Rosenberg,Matt Dillon,United States,,10597759.0,Miramax,112.0,February,9,1996,(United States),2,1996-02-09,1,Friday,Beautiful Girls (1996),beautiful_girls_1996,
D3: The Mighty Ducks,PG,Action,1996,"October 4, 1996 (United States)",5.5,26000.0,Robert Lieberman,Steven Brill,Emilio Estevez,United States,,22955097.0,Walt Disney Pictures,104.0,October,4,1996,(United States),10,1996-10-04,4,Friday,D3: The Mighty Ducks (1996),d3_the_mighty_ducks_1996,
Pusher,Not Rated,Crime,1996,"August 30, 1996 (Denmark)",7.4,37000.0,Nicolas Winding Refn,Jens Dahl,Kim Bodnia,Denmark,,1605.0,Balboa Entertainment,110.0,August,30,1996,(Denmark),8,1996-08-30,3,Friday,Pusher (1996),pusher_1996,DKK 6 million
Breaking the Waves,R,Drama,1996,"November 13, 1996 (United States)",7.8,64000.0,Lars von Trier,Lars von Trier,Emily Watson,Denmark,,3828405.0,ARTE,159.0,November,13,1996,(United States),11,1996-11-13,4,Wednesday,Breaking the Waves (1996),breaking_the_waves_1996,$7.5 million[4]
2 Days in the Valley,R,Comedy,1996,"September 27, 1996 (United States)",6.5,19000.0,John Herzfeld,John Herzfeld,Teri Hatcher,United States,,11132210.0,Rysher Entertainment,104.0,September,27,1996,(United States),9,1996-09-27,3,Friday,2 Days in the Valley (1996),2_days_in_the_valley_1996,
Michael,PG,Comedy,1996,"December 25, 1996 (United States)",5.7,42000.0,Nora Ephron,Peter Dexter,John Travolta,United States,,119718203.0,Turner Pictures (I),105.0,December,25,1996,(United States),12,1996-12-25,4,Wednesday,Michael (1996),michael_1996,
Black Sheep,PG-13,Comedy,1996,"February 2, 1996 (United States)",6.3,38000.0,Penelope Spheeris,Fred Wolf,Chris Farley,United States,,32417995.0,Broadway Pictures,87.0,February,2,1996,(United States),2,1996-02-02,1,Friday,Black Sheep (1996),black_sheep_1996,
One Fine Day,PG,Comedy,1996,"December 20, 1996 (United States)",6.5,44000.0,Michael Hoffman,Terrel Seltzer,Michelle Pfeiffer,United States,,97529550.0,Fox 2000 Pictures,108.0,December,20,1996,(United States),12,1996-12-20,4,Friday,One Fine Day (1996),one_fine_day_1996,
Diabolique,R,Drama,1996,"March 22, 1996 (United States)",5.4,14000.0,Jeremiah S. Chechik,Pierre Boileau,Sharon Stone,United States,,17100266.0,ABC Productions,107.0,March,22,1996,(United States),3,1996-03-22,1,Friday,Diabolique (1996),diabolique_1996,$45 million
The Substitute,R,Action,1996,"April 19, 1996 (United States)",6.0,13000.0,Robert Mandel,Roy Frumkes,Tom Berenger,United States,,14818176.0,Dinamo Entertainment,114.0,April,19,1996,(United States),4,1996-04-19,2,Friday,The Substitute (1996),the_substitute_1996,
House Arrest,PG,Comedy,1996,"August 14, 1996 (United States)",5.8,8200.0,Harry Winer,Michael Hitchcock,Jamie Lee Curtis,United States,,7032782.0,Metro-Goldwyn-Mayer (MGM),108.0,August,14,1996,(United States),8,1996-08-14,3,Wednesday,House Arrest (1996),house_arrest_1996,$5 million[citation needed]
Muppet Treasure Island,G,Action,1996,"February 16, 1996 (United States)",7.0,22000.0,Brian Henson,Robert Louis Stevenson,Tim Curry,United States,,34327391.0,Walt Disney Pictures,99.0,February,16,1996,(United States),2,1996-02-16,1,Friday,Muppet Treasure Island (1996),muppet_treasure_island_1996,$31 million
Beautiful Thing,R,Comedy,1996,"October 9, 1996 (United States)",7.6,23000.0,Hettie Macdonald,Jonathan Harvey,Glen Berry,United Kingdom,,1548120.0,Channel Four Films,90.0,October,9,1996,(United States),10,1996-10-09,4,Wednesday,Beautiful Thing (1996),beautiful_thing_1996,
